Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
23,Yes,Travel_Frequently,1112,Research & Development,3,3,Life Sciences,1,1,1,Male,81,1,4,Manager,3,Divorced,3966,26192,3,Y,No,17,3,2,80,1,29,1,3,28,2,13,11
43,No,Travel_Frequently,277,Research & Development,2,5,Marketing,1,2,1,Female,60,4,3,Healthcare Representative,4,Married,19746,21817,1,Y,No,12,3,3,80,3,26,4,3,39,1,8,16
32,No,Travel_Rarely,523,Research & Development,19,5,Life Sciences,1,3,3,Female,95,1,4,Manager,4,Married,16835,21467,2,Y,No,11,3,1,80,0,15,1,3,15,6,4,13
48,No,Travel_Frequently,677,Research & Development,5,5,Marketing,1,4,2,Male,63,2,3,Laboratory Technician,2,Single,5234,4023,4,Y,No,16,3,2,80,1,15,3,2,30,4,8,8
39,No,Travel_Rarely,355,Sales,17,2,Other,1,5,2,Male,63,2,4,Manager,2,Single,3493,16354,9,Y,Yes,13,3,4,80,1,22,3,1,40,11,14,16
37,No,Travel_Rarely,1292,Human Resources,28,1,Technical Degree,1,6,3,Female,34,2,4,Human Resources,3,Single,16484,12238,8,Y,Yes,20,3,2,80,1,15,1,4,16,9,2,9
38,No,Travel_Rarely,1416,Research & Development,21,3,Other,1,7,1,Female,94,4,3,Research Director,1,Married,19813,8543,9,Y,No,19,4,4,80,0,7,1,2,36,17,13,8
24,No,Travel_Rarely,444,Research & Development,17,3,Other,1,8,3,Male,40,1,4,Manufacturing Director,1,Married,4211,3787,4,Y,No,18,3,3,80,0,29,3,1,0,14,15,17
48,No,Travel_Rarely,125,Sales,4,2,Human Resources,1,9,2,Male,41,3,2,Sales Representative,1,Married,13617,7407,6,Y,No,18,3,1,80,3,27,4,4,27,2,13,6
22,No,Travel_Rarely,475,Research & Development,15,1,Human Resources,1,10,3,Female,96,1,4,Research Director,4,Married,6394,24887,7,Y,No,12,3,4,80,3,24,6,1,6,16,10,3
